Date, Open, High, Low, Close
06/10/21,13834.26,13962.98,13817.83,13960.35
06/09/21,13865.51,13900.72,13811.05,13814.94
06/08/21,13873.46,13913.40,13746.42,13810.86
06/07/21,13744.15,13808.41,13710.11,13802.89
06/04/21,13619.79,13784.77,13613.57,13770.77
06/03/21,13568.91,13608.54,13469.85,13529.68
06/02/21,13655.71,13712.68,13610.16,13675.79
06/01/21,13764.27,13773.45,13602.12,13654.59
05/28/21,13717.00,13765.80,13684.83,13686.51
05/27/21,13686.86,13724.76,13652.13,13657.85
05/26/21,13687.71,13726.06,13661.06,13702.74
05/25/21,13701.30,13734.41,13614.54,13657.73
05/24/21,13504.39,13687.60,13500.12,13641.75
05/21/21,13573.22,13573.84,13401.53,13411.74
05/20/21,13294.59,13526.01,13293.10,13494.09
05/19/21,12998.53,13243.98,12994.35,13237.91
05/18/21,13352.26,13400.52,13212.85,13217.68
05/17/21,13329.86,13350.15,13196.57,13312.91
05/14/21,13238.99,13430.00,13220.18,13393.12
05/13/21,13133.73,13226.64,13006.77,13109.15
05/12/21,13155.07,13236.89,12967.18,13001.63
05/11/21,13102.64,13381.66,13094.76,13351.27
05/10/21,13647.73,13648.49,13358.63,13359.08
05/07/21,13715.56,13814.66,13669.78,13719.63
05/06/21,13490.94,13617.34,13403.46,13613.73
05/05/21,13649.12,13676.86,13478.58,13503.37
05/04/21,13680.63,13705.38,13396.11,13544.67
05/03/21,13923.04,13955.00,13784.66,13799.72
04/30/21,13857.79,13969.21,13838.82,13860.76
04/29/21,14063.94,14073.48,13836.10,13970.20
04/28/21,13953.61,13992.07,13895.15,13901.62
04/27/21,14048.13,14048.34,13931.18,13960.28
04/26/21,13954.94,14039.40,13919.93,14026.16
04/23/21,13794.49,13989.43,13789.44,13941.44
04/22/21,13920.88,13954.03,13716.76,13762.36
04/21/21,13768.92,13939.70,13717.44,13935.15
04/20/21,13891.96,13934.89,13730.59,13809.30
04/19/21,13970.83,14025.64,13835.75,13907.67
04/16/21,14035.96,14050.38,13966.54,14041.91
04/15/21,13934.87,14040.11,13931.01,14026.19
04/14/21,13988.86,13990.54,13782.18,13803.91
04/13/21,13874.58,14002.53,13874.58,13986.49
04/12/21,13792.74,13839.39,13747.63,13819.35
04/09/21,13709.67,13849.31,13674.92,13845.05
04/08/21,13730.73,13763.18,13703.51,13758.51
04/07/21,13553.90,13648.80,13532.63,13616.70
04/06/21,13567.20,13660.29,13551.60,13578.46
04/01/21,13268.88,13333.41,13255.82,13329.51
03/31/21,12970.33,13167.06,12966.65,13091.44
03/30/21,12904.01,12929.46,12798.03,12896.53
03/29/21,12950.51,13013.48,12836.60,12965.74
03/26/21,12777.27,12992.30,12721.66,12979.12
03/25/21,12707.58,12845.66,12627.93,12780.51
03/24/21,13072.82,13077.49,12797.84,12798.88
03/23/21,13127.17,13180.66,12993.50,13017.79
03/22/21,12943.14,13167.47,12943.14,13086.51
03/19/21,12792.67,12906.02,12704.07,12866.99
03/18/21,13006.29,13040.36,12781.53,12789.14
03/17/21,13024.83,13280.29,12950.08,13202.38
03/16/21,13156.65,13297.48,13091.78,13152.28
03/15/21,12936.13,13085.01,12885.64,13082.54
03/12/21,12873.39,12943.58,12778.13,12937.29
03/11/21,12960.53,13117.86,12920.00,13052.90
03/10/21,12950.25,12979.38,12726.85,12752.07
03/09/21,12635.45,12868.52,12592.83,12794.49
03/08/21,12629.56,12718.58,12287.57,12299.08
03/05/21,12594.16,12700.95,12208.39,12668.51
03/04/21,12655.92,12799.07,12314.16,12464.00
03/03/21,13020.10,13057.29,12679.90,12683.33
03/02/21,13297.76,13301.63,13052.12,13059.95
03/01/21,13106.02,13293.78,13051.70,13282.95
02/26/21,12958.97,13090.36,12764.34,12909.44
02/25/21,13197.75,13294.56,12773.77,12828.31
02/24/21,13095.86,13312.43,12971.82,13302.19
02/23/21,12982.36,13259.85,12758.12,13194.71
02/22/21,13414.04,13447.37,13220.77,13223.74
02/19/21,13686.23,13701.69,13545.45,13580.78
02/18/21,13556.01,13669.94,13477.17,13637.51
02/17/21,13636.15,13713.14,13552.66,13699.71
02/16/21,13841.03,13879.77,13726.78,13773.77
02/12/21,13695.90,13816.25,13656.78,13807.70
02/11/21,13723.63,13747.19,13637.19,13734.35
02/10/21,13751.42,13770.91,13531.93,13655.27
02/09/21,13667.14,13741.78,13664.70,13687.08
02/08/21,13672.33,13698.41,13607.96,13695.02
02/05/21,13592.77,13642.97,13527.81,13603.96
02/04/21,13454.85,13563.13,13406.44,13560.89
02/03/21,13555.03,13561.45,13400.08,13402.37
02/02/21,13371.36,13501.23,13363.75,13456.12
02/01/21,13067.65,13280.22,12983.10,13248.90
01/29/21,13124.70,13167.87,12845.43,12925.38
01/28/21,13163.32,13401.85,13150.10,13201.53
01/27/21,13371.16,13393.51,13034.14,13112.65
01/26/21,13507.47,13536.30,13440.32,13490.19
01/25/21,13515.63,13563.70,13205.59,13483.29
01/22/21,13356.18,13404.77,13336.90,13366.40
01/21/21,13356.70,13433.69,13297.79,13404.99
01/20/21,13155.11,13332.26,13138.31,13296.45
01/19/21,12921.61,13012.09,12861.30,12996.54
01/15/21,12898.09,12941.29,12758.10,12803.93
01/14/21,13010.94,13037.05,12886.16,12898.69
01/13/21,12911.87,13008.84,12878.02,12973.63
01/12/21,12916.10,12957.43,12783.71,12892.09
01/11/21,12961.50,13023.22,12883.59,12902.49
01/08/21,13037.24,13113.09,12939.73,13105.20
01/07/21,12745.41,12966.68,12744.82,12939.57
